Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Nguyên phụ liệu thuốc lá,2,2017,,28397.01
Nguyên phụ liệu thuốc lá,3,2017,,22203.14
Nguyên phụ liệu thuốc lá,4,2017,,24134.4
Nguyên phụ liệu thuốc lá,5,2017,,33468.13
Nguyên phụ liệu thuốc lá,6,2017,,31574.55
Nguyên phụ liệu thuốc lá,7,2017,,33810.21
Nguyên phụ liệu thuốc lá,8,2017,,25958.24
Nguyên phụ liệu thuốc lá,9,2017,,25000.0
Nguyên phụ liệu thuốc lá,10,2017,,30000.0
Nguyên phụ liệu thuốc lá,11,2017,,30787.49
Nguyên phụ liệu thuốc lá,12,2017,,36363.46
Quặng và khoáng sản khác,1,2017,,29536.54
Quặng và khoáng sản khác,2,2017,,30978.34
Quặng và khoáng sản khác,3,2017,,47261.35
Quặng và khoáng sản khác,4,2017,,41159.56
Quặng và khoáng sản khác,5,2017,,50965.98
Quặng và khoáng sản khác,6,2017,,61992.35
Quặng và khoáng sản khác,7,2017,,84886.17
Quặng và khoáng sản khác,8,2017,,87083.54
Quặng và khoáng sản khác,9,2017,,51000.0
Quặng và khoáng sản khác,10,2017,,72359.87
Quặng và khoáng sản khác,11,2017,,80104.61
Quặng và khoáng sản khác,12,2017,,50852.42
Than đá,1,2017,485.101,47324.26
Than đá,2,2017,1167.525,148164.65
Than đá,3,2017,1997.622,217047.88
Than đá,4,2017,975.078,85299.83
Than đá,5,2017,1005.045,82832.06
Than đá,6,2017,860.832,78241.72
Than đá,7,2017,1543.425,148464.49
Than đá,8,2017,1412.337,138097.52
Than đá,9,2017,971.433,89420.54
Than đá,10,2017,1239.161,158577.88
Than đá,11,2017,1433.548,172828.47
Than đá,12,2017,1585.937,167794.88
Dầu thô,2,2017,220.0,105000.0
Dầu thô,4,2017,228.0,113000.0
Dầu thô,8,2017,621.727,226049.77
Dầu thô,9,2017,230.0,106000.0
Dầu thô,11,2017,211.0,95000.0
Xăng dầu,1,2017,902.3717583333332,501259.83
Xăng dầu,2,2017,822.6417583333334,444329.54
Xăng dầu,3,2017,1293.6717583333332,667755.39
Xăng dầu,4,2017,1056.2567583333334,538424.47
Xăng dầu,5,2017,1101.0947583333332,540017.95
Xăng dầu,6,2017,1363.4357583333333,648078.55
Xăng dầu,7,2017,1197.4177583333333,606877.92
Xăng dầu,8,2017,1125.2047583333333,595962.94
Xăng dầu,9,2017,959.8007583333334,527197.64
Xăng dầu,10,2017,1141.4770680555548,614011.99
Xăng dầu,11,2017,1140.6907583333332,676809.29
Xăng dầu,12,2017,1263.0,752000.0
Khí đốt hóa lỏng,1,2017,103.772,52910.62
Khí đốt hóa lỏng,2,2017,89.471,53084.55
Khí đốt hóa lỏng,3,2017,116.621,65436.32
Khí đốt hóa lỏng,4,2017,106.586,49498.71
Khí đốt hóa lỏng,5,2017,100.46,44334.72
Khí đốt hóa lỏng,6,2017,133.222,56300.22
Khí đốt hóa lỏng,7,2017,166.56,70766.8
Khí đốt hóa lỏng,8,2017,127.902,64676.07
Khí đốt hóa lỏng,9,2017,138.538,77787.95
Khí đốt hóa lỏng,10,2017,52.23,33666.82
Khí đốt hóa lỏng,11,2017,160.794,98939.31
Khí đốt hóa lỏng,12,2017,67.351,43650.97
Sản phẩm khác từ dầu mỏ,1,2017,,90000.0
Sản phẩm khác từ dầu mỏ,2,2017,,82000.0
Sản phẩm khác từ dầu mỏ,3,2017,,90000.0
Sản phẩm khác từ dầu mỏ,4,2017,,95000.0
Sản phẩm khác từ dầu mỏ,5,2017,,96000.0
Sản phẩm khác từ dầu mỏ,6,2017,,94000.0
Sản phẩm khác từ dầu mỏ,7,2017,,97000.0
Sản phẩm khác từ dầu mỏ,8,2017,,98000.0
Sản phẩm khác từ dầu mỏ,9,2017,,96000.0
Sản phẩm khác từ dầu mỏ,10,2017,,97000.0
Sản phẩm khác từ dầu mỏ,11,2017,,95000.0
Sản phẩm khác từ dầu mỏ,12,2017,,99000.0
Hóa chất,1,2017,,263006.55
Hóa chất,2,2017,,292451.81
Hóa chất,3,2017,,386609.33
Hóa chất,4,2017,,329323.37
Hóa chất,5,2017,,355576.07
Hóa chất,6,2017,,341000.26
Hóa chất,7,2017,,319972.61
Hóa chất,8,2017,,341184.37
Hóa chất,9,2017,,339578.35
Hóa chất,10,2017,,349206.52
Hóa chất,11,2017,,398000.0
Hóa chất,12,2017,,407307.22
Sản phẩm hoá chất,1,2017,,285337.95
Sản phẩm hoá chất,2,2017,,322984.57
Sản phẩm hoá chất,3,2017,,404465.25
Sản phẩm hoá chất,4,2017,,346068.82
Sản phẩm hoá chất,5,2017,,399956.66
Sản phẩm hoá chất,6,2017,,396299.96
Sản phẩm hoá chất,7,2017,,376281.8
Sản phẩm hoá chất,8,2017,,415978.83
Sản phẩm hoá chất,9,2017,,398470.17
Sản phẩm hoá chất,10,2017,,395487.85
Sản phẩm hoá chất,11,2017,,428871.0
Sản phẩm hoá chất,12,2017,,433763.06
Nguyên phụ liệu dược phẩm,1,2017,,29195.29
Nguyên phụ liệu dược phẩm,2,2017,,28379.78
Nguyên phụ liệu dược phẩm,3,2017,,35758.43
Nguyên phụ liệu dược phẩm,4,2017,,30289.92
Nguyên phụ liệu dược phẩm,5,2017,,33940.65
Nguyên phụ liệu dược phẩm,6,2017,,28816.91
Nguyên phụ liệu dược phẩm,7,2017,,24088.27
Nguyên phụ liệu dược phẩm,8,2017,,29569.57
Nguyên phụ liệu dược phẩm,9,2017,,29243.88
Nguyên phụ liệu dược phẩm,10,2017,,27982.05
Nguyên phụ liệu dược phẩm,11,2017,,35273.43
Nguyên phụ liệu dược phẩm,12,2017,,42585.49
Tân dược,1,2017,,178873.44
Tân dược,2,2017,,201981.03
Tân dược,3,2017,,239762.98
Tân dược,4,2017,,204295.78
Tân dược,5,2017,,249067.06
Tân dược,6,2017,,297309.02
Tân dược,7,2017,,221230.83
Tân dược,8,2017,,242055.42
Tân dược,9,2017,,225185.31
Tân dược,10,2017,,258601.05
Tân dược,11,2017,,222086.53
Tân dược,12,2017,,278553.83
Phân bón,1,2017,359.919,94636.89
Phân bón,2,2017,422.063,114647.92
Phân bón,3,2017,461.626,124054.09
Phân bón,4,2017,358.279,98035.48
Phân bón,5,2017,435.477,120145.9
Phân bón,6,2017,364.31,97164.64
Phân bón,7,2017,571.416,151384.16
Phân bón,8,2017,372.686,107297.27
Phân bón,9,2017,283.0,77000.0
Phân bón,10,2017,400.457,101749.8
Phân bón,11,2017,405.0,105000.0
Phân bón,12,2017,404.33,102000.0
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",1,2017,,39426.49
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",2,2017,,49048.2
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",3,2017,,54920.88
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",4,2017,,47511.63
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",5,2017,,62352.61
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",6,2017,,58830.4
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",7,2017,,52681.87
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",8,2017,,58979.25
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",9,2017,,57980.35
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",10,2017,,60487.13
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",11,2017,,67414.58
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",12,2017,,70584.43
Thuốc trừ sâu,1,2017,,58704.07
Thuốc trừ sâu,2,2017,,61304.66
Thuốc trừ sâu,3,2017,,94973.94
Thuốc trừ sâu,4,2017,,77677.55
Thuốc trừ sâu,5,2017,,102654.31
Thuốc trừ sâu,6,2017,,90881.54
Thuốc trừ sâu,7,2017,,81494.32
Thuốc trừ sâu,8,2017,,82000.0
Thuốc trừ sâu,9,2017,,82000.0
Thuốc trừ sâu,10,2017,,93000.0
Thuốc trừ sâu,11,2017,,96000.0
Thuốc trừ sâu,12,2017,,100908.56
Chất dẻo,1,2017,316.924,467702.32
Chất dẻo,2,2017,413.001,605678.05
Chất dẻo,3,2017,458.197,698929.7
Chất dẻo,4,2017,372.877,581738.28
Chất dẻo,5,2017,420.454,648377.26
Chất dẻo,6,2017,420.411,621713.1
Chất dẻo,7,2017,449.838,648556.29
Chất dẻo,8,2017,452.95,666487.62
Chất dẻo,9,2017,425.604,639308.72
Chất dẻo,10,2017,412.908,647671.47
Chất dẻo,11,2017,420.413,668597.7
Chất dẻo,12,2017,439.027,687708.08
Sản phẩm chất dẻo,1,2017,,325831.95
Sản phẩm chất dẻo,2,2017,,384565.48
Sản phẩm chất dẻo,3,2017,,470843.71
Sản phẩm chất dẻo,4,2017,,420722.02
Sản phẩm chất dẻo,5,2017,,452490.98
Sản phẩm chất dẻo,6,2017,,451008.8
Sản phẩm chất dẻo,7,2017,,447982.3
Sản phẩm chất dẻo,8,2017,,483509.48
Sản phẩm chất dẻo,9,2017,,524881.91
Sản phẩm chất dẻo,10,2017,,490659.89
Sản phẩm chất dẻo,11,2017,,508422.25
Sản phẩm chất dẻo,12,2017,,504453.62
Cao su,1,2017,38.128,74144.09
Cao su,2,2017,41.67,89495.23
Cao su,3,2017,41.942,101594.84
Cao su,4,2017,34.343,83768.09
Cao su,5,2017,44.531,99926.04
Cao su,6,2017,43.632,87760.74
Cao su,7,2017,45.724,83199.54
Cao su,8,2017,53.243,94912.35
Cao su,9,2017,49.91,90344.92
Cao su,10,2017,54.0,100000.0
Cao su,11,2017,55.349,98373.46
Cao su,12,2017,56.758,97051.21
Sản phẩm từ cao su,1,2017,,55000.0
Sản phẩm từ cao su,2,2017,,71000.0
Sản phẩm từ cao su,3,2017,,73628.56
Sản phẩm từ cao su,4,2017,,71000.0
Sản phẩm từ cao su,5,2017,,70205.9
Sản phẩm từ cao su,6,2017,,72000.0
Sản phẩm từ cao su,7,2017,,67038.42
Sản phẩm từ cao su,8,2017,,69008.28
Sản phẩm từ cao su,9,2017,,68264.51
Sản phẩm từ cao su,10,2017,,69622.86
Sản phẩm từ cao su,11,2017,,74495.21
Sản phẩm từ cao su,12,2017,,71792.37
Gỗ và sản phẩm gỗ,1,2017,,143447.31
Gỗ và sản phẩm gỗ,2,2017,,154627.27
Gỗ và sản phẩm gỗ,3,2017,,218519.9
