Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Bánh kẹo và các sản phẩm từ ngũ cốc,2,2023,73528.553,
Bánh kẹo và các sản phẩm từ ngũ cốc,3,2023,88625.61499999998,
Bánh kẹo và các sản phẩm từ ngũ cốc,4,2023,81592.43200000002,
Bánh kẹo và các sản phẩm từ ngũ cốc,5,2023,84149.82199999997,
Bánh kẹo và các sản phẩm từ ngũ cốc,6,2023,84013.62099999997,
Bánh kẹo và các sản phẩm từ ngũ cốc,7,2023,84532.23599999996,
Bánh kẹo và các sản phẩm từ ngũ cốc,8,2023,130192.76500000006,
Bánh kẹo và các sản phẩm từ ngũ cốc,9,2023,84010.33300000003,
Bánh kẹo và các sản phẩm từ ngũ cốc,10,2023,98220.82700000008,
Bánh kẹo và các sản phẩm từ ngũ cốc,11,2023,94929.63000000003,
Bánh kẹo và các sản phẩm từ ngũ cốc,12,2023,95952.51899999996,
Bánh kẹo và các sản phẩm từ ngũ cốc,1,2024,98607.067,
Bánh kẹo và các sản phẩm từ ngũ cốc,2,2024,62497.819,
Bánh kẹo và các sản phẩm từ ngũ cốc,3,2024,98667.34599999998,
Bánh kẹo và các sản phẩm từ ngũ cốc,4,2024,95129.58,
Bánh kẹo và các sản phẩm từ ngũ cốc,5,2024,87730.114,
Bánh kẹo và các sản phẩm từ ngũ cốc,6,2024,104484.55000000005,
Bánh kẹo và các sản phẩm từ ngũ cốc,7,2024,105335.91599999995,
Bánh kẹo và các sản phẩm từ ngũ cốc,8,2024,117078.157,
Bánh kẹo và các sản phẩm từ ngũ cốc,9,2024,102028.16,
Bánh kẹo và các sản phẩm từ ngũ cốc,10,2024,124204.395,
Bánh kẹo và các sản phẩm từ ngũ cốc,11,2024,118939.81499999992,
Bánh kẹo và các sản phẩm từ ngũ cốc,12,2024,116849.083,
Bánh kẹo và các sản phẩm từ ngũ cốc,1,2025,97763.512,
Bánh kẹo và các sản phẩm từ ngũ cốc,2,2025,87349.678,
Bánh kẹo và các sản phẩm từ ngũ cốc,3,2025,107776.84599999996,
Bánh kẹo và các sản phẩm từ ngũ cốc,4,2025,97238.543,
Bánh kẹo và các sản phẩm từ ngũ cốc,5,2025,102140.95500000005,
Bánh kẹo và các sản phẩm từ ngũ cốc,6,2025,101201.047,
Bánh kẹo và các sản phẩm từ ngũ cốc,7,2025,103743.41800000003,
Bánh kẹo và các sản phẩm từ ngũ cốc,8,2025,112711.94599999998,
Bánh kẹo và các sản phẩm từ ngũ cốc,9,2025,110512.45799999984,
Bánh kẹo và các sản phẩm từ ngũ cốc,10,2025,122068.27300000004,
