Year,Category,Month,Index_Value,Quarter,Hierarchy_Level,Economic_Period,Is_Tet_Month,Inflation_Status,Season,Category_Group
2022,Trong đó: Dịch vụ y tế,1,100.0,1,Sub-category,COVID-19,True,Stable,Winter/Tet,Healthcare
2022,Giao thông,1,101.18,1,Main Category,COVID-19,True,High Inflation,Winter/Tet,Transport
2022,Bưu chính viễn thông,1,99.97,1,Main Category,COVID-19,True,Deflation,Winter/Tet,General/Housing
2022,Giáo dục,1,100.03,1,Main Category,COVID-19,True,Stable,Winter/Tet,Education
2022,Trong đó: Dịch vụ giáo dục,1,100.01,1,Sub-category,COVID-19,True,Stable,Winter/Tet,General/Housing
2022,"Văn hóa, giải trí và du lịch",1,100.16,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2022,Hàng hoá và dịch vụ khác,1,100.39,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2022,Chỉ số giá vàng,1,101.08,1,Main Category,COVID-19,True,High Inflation,Winter/Tet,Financial/Other
2022,Chỉ số đô la Mỹ,1,99.68,1,Main Category,COVID-19,True,Deflation,Winter/Tet,Financial/Other
2021,Chỉ số giá tiêu dùng,1,100.06,1,Total CPI,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,Hàng ăn và dịch vụ ăn uống,1,100.64,1,Main Category,COVID-19,True,Stable,Winter/Tet,Food & Beverage
2021,Lương thực,1,100.83,1,Sub-category,COVID-19,True,Stable,Winter/Tet,Food & Beverage
2021,Thực phẩm,1,100.81,1,Sub-category,COVID-19,True,Stable,Winter/Tet,Food & Beverage
2021,Ăn uống ngoài gia đình,1,100.15,1,Sub-category,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,Đồ uống và thuốc lá,1,100.32,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,"May mặc, mũ nón, giày dép",1,100.44,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,Nhà ở và vật liệu xây dựng,1,97.69,1,Main Category,COVID-19,True,Deflation,Winter/Tet,General/Housing
2021,Thiết bị và đồ dùng gia đình,1,100.08,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,Thuốc và dịch vụ y tế,1,100.01,1,Main Category,COVID-19,True,Stable,Winter/Tet,Healthcare
2021,Trong đó: Dịch vụ y tế,1,100.0,1,Sub-category,COVID-19,True,Stable,Winter/Tet,Healthcare
2021,Giao thông,1,102.29,1,Main Category,COVID-19,True,High Inflation,Winter/Tet,Transport
2021,Bưu chính viễn thông,1,99.9,1,Main Category,COVID-19,True,Deflation,Winter/Tet,General/Housing
2021,Giáo dục,1,100.33,1,Main Category,COVID-19,True,Stable,Winter/Tet,Education
2021,Trong đó: Dịch vụ giáo dục,1,100.38,1,Sub-category,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,"Văn hóa, giải trí và du lịch",1,100.08,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,Hàng hoá và dịch vụ khác,1,100.24,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2021,Chỉ số giá vàng,1,102.17,1,Main Category,COVID-19,True,High Inflation,Winter/Tet,Financial/Other
2021,Chỉ số đô la Mỹ,1,99.84,1,Main Category,COVID-19,True,Deflation,Winter/Tet,Financial/Other
2020,Chỉ số giá tiêu dùng,1,101.23,1,Total CPI,COVID-19,True,High Inflation,Winter/Tet,General/Housing
2020,Hàng ăn và dịch vụ ăn uống,1,102.29,1,Main Category,COVID-19,True,High Inflation,Winter/Tet,Food & Beverage
2020,Lương thực,1,100.79,1,Sub-category,COVID-19,True,Stable,Winter/Tet,Food & Beverage
2020,Thực phẩm,1,102.6,1,Sub-category,COVID-19,True,High Inflation,Winter/Tet,Food & Beverage
2020,Đồ uống và thuốc lá,1,100.65,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2020,"May mặc, mũ nón, giày dép",1,100.33,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
