Năm,Tháng,Ngày,[gold] Giá mở phiên,[gold] Giá cao nhất trong phiên,[gold] Giá thấp nhất trong phiên,[gold] Giá kết phiên,[gold] Volume,[VNI] Giá mở phiên trước,[VNI] Giá mở phiên,[VNI] Giá cao nhất trong phiên,[VNI] Giá thấp nhất trong phiên,[VNI] Volume,[VNI] % Thay đổi,[USD] Giá mở phiên trước,[USD] Giá mở phiên,[USD] Giá cao nhất trong phiên,[USD] Giá thấp nhất trong phiên,[USD] Volume,[USD] % Thay đổi,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
2025,11,27,4163.98,4168.84,4142.52,4156.73,430480.0,"1,684.32","1,680.36","1,695.34","1,679.76",598.41M,0.24%,"26,375.5","26,379.5","26,391.5","26,359.0",,0.00%,19490.0,,18800.0,,,19470.0,19650.0,19280.0,20000.0,
2025,11,26,4131.83,4173.57,4129.63,4162.39,670158.0,"1,680.36","1,660.36","1,682.17","1,660.36",682.18M,1.20%,"26,376.5","26,365.5","26,390.0","26,354.0",,0.01%,,,,,,,,,,
2025,11,25,4134.7,4159.26,4108.76,4130.78,696772.0,"1,660.36","1,667.98","1,684.74","1,655.83",778.05M,-0.46%,"26,373.0","26,377.0","26,392.0","26,357.5",,-0.01%,,,,,,,,,,
2025,11,24,4071.81,4139.92,4039.69,4135.42,616939.0,"1,667.98","1,654.93","1,674.29","1,654.93",522.15M,0.79%,"26,375.5","26,360.0","26,391.5","26,312.5",,0.09%,,,,,,,,,,
2025,11,21,4076.26,4101.27,4021.92,4064.65,875673.0,"1,654.93","1,655.99","1,658.77","1,635.10",666.03M,-0.06%,"26,353.0","26,382.0","26,386.5","26,353.0",,-0.09%,,,,,,,,,,
2025,11,20,4079.09,4110.26,4038.49,4076.8,960842.0,"1,655.99","1,649.00","1,660.55","1,647.79",592.50M,0.42%,"26,376.0","26,383.0","26,386.0","26,354.5",,0.00%,20510.0,,19820.0,,,20280.0,20120.0,19800.0,20540.0,
2025,11,19,4066.9,4132.59,4055.28,4077.45,810705.0,"1,649.00","1,659.92","1,661.70","1,643.04",742.00M,-0.66%,"26,377.0","26,383.5","26,387.5","26,351.0",,-0.02%,,,,,,,,,,
2025,11,18,4045.33,4082.24,3998.17,4066.61,709244.0,"1,659.92","1,654.42","1,660.41","1,639.20",706.24M,0.33%,"26,383.0","26,364.5","26,386.5","26,325.0",,0.11%,,,,,,,,,,
2025,11,17,4086.53,4106.81,4006.93,4044.14,731265.0,"1,654.42","1,635.46","1,654.42","1,635.14",661.27M,1.16%,"26,355.0","26,350.0","26,367.5","26,310.0",,0.02%,,,,,,,,,,
2025,11,14,4171.79,4211.49,4031.96,4082.28,884878.0,"1,635.46","1,631.44","1,638.35","1,623.03",649.84M,0.25%,"26,350.0","26,356.0","26,368.5","26,332.5",,-0.02%,,,,,,,,,,
2025,11,13,4196.11,4245.4,4144.83,4170.76,735122.0,"1,631.44","1,631.86","1,638.98","1,618.77",629.95M,-0.03%,"26,355.0","26,344.5","26,369.5","26,306.0",,0.00%,20550.0,,19860.0,,,19930.0,20150.0,19840.0,20570.0,
2025,11,12,4126.94,4211.8,4098.92,4194.89,674893.0,"1,631.86","1,593.61","1,631.86","1,593.61",682.21M,2.40%,"26,355.0","26,321.0","26,368.0","26,305.0",,0.15%,,,,,,,,,,
2025,11,11,4115.61,4148.73,4097.05,4126.1,518619.0,"1,593.61","1,580.54","1,597.08","1,578.42",596.03M,0.83%,"26,315.0","26,312.5","26,333.0","26,293.5",,0.06%,,,,,,,,,,
2025,11,10,4001.02,4116.63,3997.68,4115.11,592795.0,"1,580.54","1,599.10","1,609.49","1,580.54",656.34M,-1.16%,"26,300.0","26,314.5","26,326.5","26,282.0",,-0.04%,,,,,,,,,,
2025,11,07,3981.15,4027.72,3973.94,4000.07,521993.0,"1,599.10","1,642.64","1,644.43","1,595.34",818.30M,-2.65%,"26,310.0","26,314.5","26,330.0","26,293.0",,-0.02%,,,,,,,,,,
2025,11,06,3975.94,4019.75,3964.47,3977.52,567434.0,"1,642.64","1,654.89","1,659.81","1,638.12",550.19M,-0.74%,"26,315.0","26,323.5","26,338.0","26,298.0",,-0.03%,19940.0,,19320.0,,,19390.0,20010.0,19680.0,20410.0,
2025,11,05,3931.84,3991.44,3928.71,3978.69,513044.0,"1,654.89","1,651.98","1,662.96","1,640.51",614.85M,0.18%,"26,322.5","26,319.5","26,345.0","26,302.5",,0.01%,,,,,,,,,,
2025,11,04,4001.96,4005.84,3928.87,3931.77,580768.0,"1,651.98","1,617.00","1,658.93","1,600.56",1.13B,2.16%,"26,320.0","26,316.0","26,341.0","26,302.5",,0.03%,,,,,,,,,,
2025,11,03,3984.44,4030.56,3962.29,4002.4,667936.0,"1,617.00","1,639.65","1,652.48","1,614.65",965.23M,-1.38%,"26,312.0","26,306.0","26,326.5","26,275.0",,-0.01%,,,,,,,,,,
2025,10,31,4023.52,4046.23,3972.15,4002.06,832341.0,"1,639.65","1,669.57","1,675.07","1,626.79",777.80M,-1.79%,"26,315.0","26,329.5","26,338.5","26,291.5",,-0.06%,,,,,,,,,,
2025,10,30,3931.01,4027.47,3914.94,4024.28,915615.0,"1,669.57","1,685.83","1,692.13","1,661.38",763.11M,-0.96%,"26,330.0","26,332.0","26,342.0","26,295.0",,-0.02%,19820.0,,19200.0,,,19270.0,20120.0,19760.0,20480.0,
2025,10,29,3955.28,4030.29,3916.56,3929.64,964173.0,"1,685.83","1,680.50","1,702.23","1,675.68",823.54M,0.32%,"26,336.0","26,329.5","26,339.0","26,305.0",,0.03%,,,,,,,,,,
2025,10,28,3983.72,4019.89,3886.32,3951.84,879720.0,"1,680.50","1,652.54","1,680.77","1,621.52",876.81M,1.69%,"26,328.0","26,302.0","26,338.0","26,287.5",,0.09%,,,,,,,,,,
2025,10,27,4091.05,4109.06,3971.12,3981.86,849009.0,"1,652.54","1,683.18","1,697.16","1,652.11",903.49M,-1.82%,"26,305.0","26,302.0","26,345.0","26,276.5",,0.00%,,,,,,,,,,
2025,10,24,4127.03,4144.08,4043.6,4111.33,785287.0,"1,683.18","1,687.06","1,691.69","1,660.32",916.27M,-0.23%,"26,305.0","26,334.5","26,346.0","26,291.0",,-0.10%,,,,,,,,,,
2025,10,23,4095.87,4154.75,4065.89,4126.08,815509.0,"1,687.06","1,678.50","1,698.01","1,668.57",699.30M,0.51%,"26,332.0","26,339.5","26,351.5","26,315.0",,-0.06%,18500.0,,17880.0,,,18110.0,19450.0,19050.0,19720.0,
2025,10,22,4124.63,4161.2,4003.4,4098.0,1117962.0,"1,678.50","1,663.43","1,697.58","1,628.37",910.68M,0.91%,"26,347.5","26,341.5","26,356.0","26,290.0",,0.02%,,,,,,,,,,
2025,10,21,4354.88,4375.35,4080.11,4124.31,1124491.0,"1,663.43","1,636.43","1,677.11","1,609.70",1.53B,1.65%,"26,343.0","26,343.5","26,352.5","26,331.5",,0.00%,,,,,,,,,,
2025,10,20,4247.57,4381.58,4218.75,4356.14,860110.0,"1,636.43","1,731.19","1,731.19","1,635.08",1.64B,-5.47%,"26,342.5","26,340.0","26,360.0","26,334.5",,0.00%,,,,,,,,,,
